,sample_name,422.4,486.3,670,818.1,940.5,970.3,996.2,1005.4,1412.8,1461.8,1900.9,1932.2,2057.2,2151.3,2156.5,2222.1,2269,2324.3,2329.1,Porosity (%)
37,CR_13,0.592,0.6968,0.9954,1.0,0.9546,0.9527,0.9579,0.9572,0.9091,0.9385,0.7783,0.7697,0.9609,0.9977,0.9979,0.9299,0.9485,0.9118,0.9144,12.68
38,CR_13,0.5185,0.6252,0.9626,0.9987,0.9561,0.9576,0.9597,0.956,0.9041,0.9363,0.7833,0.768,0.9669,0.9984,0.9998,0.9353,0.9595,0.9217,0.926,12.68
39,CR_13,0.7457,0.8518,0.9992,0.9993,0.955,0.9541,0.9583,0.9582,0.9317,0.9487,0.8236,0.8217,0.9676,0.9998,1.0,0.9346,0.941,0.9109,0.9139,12.68
40,CR_13,0.7551,0.8567,0.9993,0.9993,0.9552,0.9541,0.9573,0.9572,0.9308,0.9484,0.8235,0.8231,0.9686,0.9996,1.0,0.9343,0.9403,0.9115,0.9139,12.68
41,K1_03,0.8068,0.8383,0.9622,0.9996,0.9989,0.9995,0.9992,0.9993,0.9754,0.9725,0.9199,0.9246,0.9838,0.988,0.9851,0.9638,0.9231,0.828,0.8141,6.11
42,K1_03,0.8502,0.875,0.9717,0.9998,0.9979,0.9982,0.9984,0.9995,0.9747,0.97,0.9212,0.9224,0.983,0.987,0.9841,0.966,0.9118,0.8076,0.7949,6.11
43,K1_03,0.8212,0.8544,0.9691,0.9999,0.9981,0.9988,0.9988,0.9989,0.9754,0.9715,0.9212,0.926,0.9845,0.9873,0.9851,0.9658,0.9173,0.8132,0.8005,6.11
44,K1_06,0.8774,0.923,0.9997,1.0,0.9966,0.9995,0.9941,0.9867,0.9857,0.9887,0.93,0.8973,0.9726,0.9964,0.994,0.9574,0.9285,0.8788,0.8748,8.81
45,K1_06,0.8967,0.9483,0.9999,0.9998,0.9949,0.9983,0.9935,0.9875,0.9855,0.9878,0.9395,0.9081,0.9755,0.9975,0.9937,0.96,0.9293,0.8852,0.8841,8.81
46,K1_06,0.9102,0.9532,0.9998,1.0,0.9948,0.9972,0.9926,0.9876,0.983,0.9877,0.9313,0.9071,0.9752,0.9966,0.9937,0.9588,0.9359,0.8913,0.8859,8.81
47,K1_06,0.8988,0.9462,0.9998,0.9998,0.9917,0.9943,0.9894,0.9839,0.9767,0.9797,0.9339,0.9144,0.9789,0.9949,0.9924,0.9576,0.9371,0.8918,0.8871,8.81
