model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_activation;param_alpha;param_batch_size;param_early_stopping;param_hidden_layer_sizes;param_learning_rate;param_learning_rate_init;param_max_iter;param_solver;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
activation:relu_alpha:0.01_batch_size:2_early_stopping:False_hidden_layer_sizes:(5, 5)_learning_rate:adaptive_learning_rate_init:0.001_max_iter:2500_solver:adam;0.8595226788520813;0.3173471867285415;0.000408930778503418;8.996064331919169e-05;relu;0.01;2;False;(5, 5);adaptive;0.001;2500;adam;-0.08807624772318542;-0.0007999600029738519;-0.014891565948264638;-0.12391258471394162;-0.06948853500158038;-0.052883666674215485;-0.015272889681608596;-0.024440738924582404;-0.040120665041846915;-0.0026725150817261123;-0.03361767283276229;-0.008214632879811846;-0.032249872535058836;-0.03760165585777176;-0.04233278071294206;-0.06950878901382512;-0.0066119103262556045;-0.0054233829726027935;-0.024991028660229522;-0.011375814862945829;-0.00018798119262080013;-0.027517460446936107;-0.004907051362178121;-0.028580770780727113;-0.02858954241422644;-0.03428621273230193;-0.006233932056448017;-0.07666971853500339;-0.01616431769395309;-0.047812460877984304;-0.0904521984834949;-0.00011039138131590432;-0.019384161024212827;-0.1677388814622052;-0.019073629876758473;-0.00901010669327544;-0.0045455310895905114;-0.0010679333197181977;-0.16189490378327448;-0.026312329657957975;-0.007298714777140131;-0.0010063874540171356;-0.03513128425675848;-0.04304409302335291;-0.056144458595705916;-0.0015926381846129653;-0.019155250400646126;-0.03790940219189857;-0.0742418450318266;-0.0248118792282422;-0.05811364768702508;-0.05783181288850866;-0.0026679200065979555;-0.04265481720478088;-0.04450642606858025;-0.00567568800406475;-0.017869412869501704;-0.05744810311468052;-0.06181702609551054;-0.002432374787347893;-0.030740163296803517;-0.03803497448604655;-0.0005363155879039911;-0.057545855118860956;-0.00932262839886794;-0.03586487090686075;-0.07656216700948942;-0.0003357323907210662;-0.06450836572641536;-0.011400582941743799;-0.011274176329197213;-0.03445327283912239;-0.020230486218207496;-0.0008664302123714455;-0.03911741729049925;-0.026443650079517392;-0.034045369463256085;-0.0415808851368255;-0.15263855144663704;-0.012829361857662364;-0.05033592133681362;-0.0011194208236436438;-0.04536293551552278;-0.04560327603991604;-0.014445855053234834;-0.034360680437440734;-0.001525017645776959;-0.06389291578345878;-0.012527894243742482;-0.060558679357330975;-0.0811013892746857;-0.04650193244305772;-9.709477827084294e-05;-0.001033095861247358;-0.024226300663265043;-0.0006794410656222742;-0.045796199865035137;-0.07832009277216297;-0.034478801827990936;-0.037051068511945034;-0.03503728876220287;0.033723646876785585;414
activation:relu_alpha:0.001_batch_size:1_early_stopping:False_hidden_layer_sizes:(10, 5, 5, 5)_learning_rate:constant_learning_rate_init:0.001_max_iter:1600_solver:adam;1.3116717219352723;0.4712289807339228;0.0004570245742797852;9.424586914370857e-05;relu;0.001;1;False;(10, 5, 5, 5);constant;0.001;1600;adam;-0.046320000969616165;-0.0006648932304058177;-0.008522113458512144;-0.03689015535283778;-0.0005255524268445591;-0.13398418542751864;-0.01951333308090492;-0.013495813583443228;-0.03730317157381647;-0.0011313191378645566;-0.054824711347615886;-0.007164862497525547;-0.024911301044800712;-0.022630020519244398;-0.05349784949861632;-0.0701048368958368;-0.010766117888161867;-0.00650457113284713;-0.03589427885894896;-0.004354228880785076;-0.00017896989199499305;-0.0015800753453731177;-0.0015070617114620341;-0.0056786351309405375;-0.012166719392786324;-0.015527470246457118;-0.0011234871163677933;-0.09793486705938143;-0.011335330861527692;-0.11095240389841421;-0.059016250676657736;-0.005411553758521198;-0.020183266035902887;-0.1512286857235339;-0.009528421849960582;-0.014361342345868451;-0.07220190689105847;-0.002598513683442012;-0.02015789715641898;-0.01843832180569509;-0.006314216606919639;-0.0031871080043232637;-0.02983861846782247;-0.05793208557880165;-0.03429689967924444;-0.0007500106070744763;-0.027496707387347233;-0.016806308624447437;-0.1017637600926773;-0.04841515104387906;-0.016698918828076267;-0.062222393602362897;-0.006499614793680125;-0.0313545863979337;-0.022922481049088773;-0.0021699207818183714;-0.04620107366753775;-0.2550097686692587;-0.055465944151986524;-0.0006528628223976932;-0.018856664997513064;-0.042439404896020626;-0.0017778196652486668;-0.018242321236105977;-0.0014489459032346584;-0.07837813586540011;-0.07794288880867206;-0.0005486252014841942;-0.0036055673129928747;-0.015511358995403198;-0.005523637328991775;-0.031184656759787387;-0.04144262015034654;-0.00016593708713504973;-0.022725885705897824;-0.026887544743752902;-0.03862054091252227;-0.052662202746605845;-0.019319307513517577;-0.003035538898725475;-0.05269296768323772;-0.0011784276285744784;-0.05802638783779591;-0.05285084844779183;-0.008647621300977619;-0.011497362937269278;-0.005961214832260145;-0.0007711763298777867;-0.006716945877716085;-0.1637818141606502;-0.3228887526237855;-0.06564355273593565;-6.991281687363046e-05;-0.029637042579474745;-0.005017844529040009;-0.0022232807792594276;-0.0750049248747182;-0.03542838299264804;-0.02230848516707078;-0.03879681505006969;-0.03505576294158974;0.04926274126367514;415
activation:relu_alpha:0.001_batch_size:2_early_stopping:False_hidden_layer_sizes:(20, 15, 10)_learning_rate:adaptive_learning_rate_init:0.01_max_iter:2000_solver:adam;0.27103986978530886;0.10951103000094844;0.00044112443923950196;9.553674506669194e-05;relu;0.001;2;False;(20, 15, 10);adaptive;0.01;2000;adam;-0.05347698177314777;-0.00562153680722298;-0.008092914836362573;-0.012054244396660979;-0.0014190983931915994;-0.08240213776997198;-0.0054052989617299485;-0.04068685947522884;-0.05052733713058568;-0.0028030739753390137;-0.023359007159864633;-0.0062973984489593056;-0.027142156981073067;-0.00836751976761048;-0.1827989095748411;-0.027877190068942653;-0.010775376664130615;-0.005675231141054951;-0.04175239401765179;-0.023956230791114044;-0.0024030432428804585;-0.002428242561805968;-0.004547059047219792;-0.015480565154610293;-0.014968758562760054;-0.09254267477249739;-0.012414931138713158;-0.10102814760738106;-0.008369145443451307;-0.010439032426657493;-0.09160140345215376;-0.007319836735657227;-0.05233031754789235;-0.21976750201253495;-0.00828081957852502;-0.01730330995129439;-0.0008190914233520584;-0.0021817020341738827;-0.025004319482006144;-0.028588056180852615;-0.00048109116896949774;-0.009245187467305455;-0.02076216422999463;-0.04152910060770771;-0.02648875223492171;-0.0014719672668262384;-0.013957228038851773;-0.018851327674708773;-0.13717346014183884;-0.037704158100730724;-0.07816166653418653;-0.03332647724754554;-0.0037584318662816567;-0.020084250562518443;-0.02436747367435321;-0.0017003038830358697;-0.017074646271203166;-0.021644372108561946;-0.00699622731205296;-0.04390744033257988;-0.10202375625713105;-0.0170246157539488;-0.0014178906399224353;-0.00869634583381098;-0.02604795720627658;-0.04515295944556352;-0.06598175485986607;-0.0006009687165113121;-0.0010831960542939704;-0.05523442131537911;-0.05284612422575181;-0.05895507568873771;-0.03836780271441916;-0.0579252060405658;-0.03894014921329906;-0.022215137618454662;-0.03921693832320861;-0.09104964854811463;-0.04220199009216271;-0.09133440758966625;-0.04396047915515009;-0.00011327586319768641;-0.0311682393756772;-0.019593413656886043;-0.12904325422538498;-0.021716742211819847;-0.00480532016250454;-0.0052353283940364545;-0.009893679027322947;-0.01617915929385821;-0.03422194080870877;-0.029651471979460872;-0.048578075089170204;-0.0008600698233142273;-0.09062185821623343;-0.002066439700053954;-0.10879772159848511;-0.09568601726929321;-0.04115513053402052;-0.02118633245299001;-0.0350784487818993;0.039405853877053684;416
activation:relu_alpha:0.01_batch_size:3_early_stopping:False_hidden_layer_sizes:(20, 15, 10, 5)_learning_rate:adaptive_learning_rate_init:0.001_max_iter:2500_solver:adam;1.0440731859207153;0.3543235519822098;0.0004468727111816406;0.00010224376037409782;relu;0.01;3;False;(20, 15, 10, 5);adaptive;0.001;2500;adam;-0.040663806356115696;-0.00028883222288110424;-0.009602523903933766;-0.0242789786977483;-0.0010062787694719065;-0.19174102749278912;-0.015638905540487216;-0.027030752585797662;-0.03653327284778892;-0.007031446665730752;-0.06170101832325805;-0.006255016174820487;-0.03203182044429355;-0.005478785325659882;-0.04378278373761141;-0.054912326560252016;-0.006924933826173585;-0.0027806563434748708;-0.011844400392685965;-0.008762973238141484;-0.0016259624347550261;-0.07658878120653273;-0.0007031576436070659;-0.28583136102516504;-0.033874507600148776;-0.030927988467382695;-0.007019755440874551;-0.07343219258652477;-0.010075884714279552;-0.0586544050117828;-0.03805255366543619;-0.0025736487169068126;-0.01922403224712446;-0.44996549312288053;-0.005849293884882783;-0.011052964027471295;-0.0014616906126608926;-0.00039821657323227286;-0.020514806484827963;-0.02311098865311284;-0.005358080476295171;-0.00020187562746107262;-0.030279291210200312;-0.03210025131188971;-0.04716830215902104;-0.08457176300708508;-0.018157920696003953;-0.1396405118058325;-0.06454295590183792;-0.029053205602149485;-0.03198048763483641;-0.09460465245156195;-0.002532555578425488;-0.02465094381082109;-0.026074673633855516;-0.00256064051411394;-0.027492130997907857;-0.09225766572581068;-0.04630769896554462;-0.00048633818273733465;-0.016968198540832362;-0.03591145301183149;-0.0035500532356902005;-0.018358656412516636;-0.006363201769166956;-0.04708848054951988;-0.07216759676052723;-0.0003694420529256616;-0.0012899471820775141;-0.008930825590707845;-0.01568980240541142;-0.03832313253233376;-0.017864245836363608;-0.0023481219641221748;-0.024723441409658473;-0.035568198933035325;-0.04420203040713181;-0.06767376005614645;-0.035092966423557186;-0.021981972187936336;-0.036464149578884705;-0.001444883575889325;-0.037662958323751154;-0.04141935136664499;-0.0322140516807762;-0.05575910642068699;-0.002372650802973671;-0.0011756170479937814;-0.01083863380078246;-0.03039299462080791;-0.034359243235407746;-0.037447877218118174;-0.0022559870690690305;-0.001113284539678219;-0.006727103771956737;-0.0019240949299259883;-0.01929703813769078;-0.037972538709029266;-0.0355959778278062;-0.028777969563478296;-0.0350893120834494;0.05737850615747958;417
activation:relu_alpha:0.001_batch_size:1_early_stopping:False_hidden_layer_sizes:(5, 5)_learning_rate:constant_learning_rate_init:0.001_max_iter:1600_solver:adam;0.9811838936805725;0.35749323690611184;0.00042743682861328124;8.779371091585441e-05;relu;0.001;1;False;(5, 5);constant;0.001;1600;adam;-0.06371612116387125;-0.014874148315426083;-0.009502363257673561;-0.032965816602900815;-0.004595072675548172;-0.09680472444613475;-0.015441026813605633;-0.012027727139724075;-0.043156279899759654;-0.00030673416935512017;-0.044931243914164545;-0.01477057862434171;-0.031585920183230407;-0.0034078139052046877;-0.06354743293111254;-0.02542354571413961;-0.00794081583340103;-0.003318898628869988;-0.02353912606562365;-0.02463689105526012;-0.003568032812415931;-0.07683391714051784;-0.0008154132815539998;-0.03290674421234978;-0.14800024793291222;-0.036315966802182936;-0.0015542211798377263;-0.08092450182113364;-0.022124247361272678;-0.09019474834324938;-0.062044143360815734;-0.004598992809994424;-0.011449201758539225;-0.12437767282219409;-0.20418724124594956;-0.2880774895767531;-0.0019696884764576557;-0.0026139524315779423;-0.026152777656924742;-0.039744340929536444;-0.003187128505285213;-0.0017116542331261717;-0.05038882650944768;-0.0563172932739869;-0.04962095613921388;-0.0017693935799331045;-0.02309112058904829;-0.011997252538340886;-0.07206195789004616;-0.0363370658701695;-0.03796610479393793;-0.03606558162132151;-0.0025547174701802153;-0.02702166786401002;-0.04684710483063115;-0.020113915291850304;-0.01229178773540728;-0.06803270801223785;-0.02486068571988619;-0.006499812772889726;-0.02129984981170607;-0.04731397984392769;-0.008800618932813593;-0.023204607059480784;-0.0020460934869167093;-0.05402404146727599;-0.07038159625980313;-0.0020699488007860276;-0.0013281357628302341;-0.006218117469387726;-0.01997414820737881;-0.029418144945850575;-0.009017438842690894;-0.00020398280966181103;-0.028538454539342867;-0.008906875320542332;-0.016203439334256494;-0.037112163549535226;-0.02301227727137534;-0.005404993690448816;-0.06648257155164351;-0.0017494666361299188;-0.036508600276670834;-0.06244647952838859;-0.03430666844620008;-0.05153926003160526;-0.005595594130719171;-0.014204433066354437;-0.0065428070099953365;-0.03886491700762858;-0.046049255071035175;-0.03959855353947227;-6.517208573345418e-05;-0.0017510741159198;-0.025071895077143264;-0.004843988732785703;-0.037527659524983686;-0.16945969589783258;-0.03410698058725238;-0.04213301026765593;-0.03517009548527627;0.04354776151504457;418
activation:relu_alpha:0.01_batch_size:1_early_stopping:False_hidden_layer_sizes:(20, 15, 15, 10)_learning_rate:constant_learning_rate_init:0.001_max_iter:2000_solver:adam;2.2690527987480165;0.5314272587583074;0.0004729390144348145;0.00011266381787399214;relu;0.01;1;False;(20, 15, 15, 10);constant;0.001;2000;adam;-0.053366701076735926;-0.00018631972750282375;-0.01043497202356971;-0.02591265640107739;-0.0032082323057632286;-0.05521445002988135;-0.023546676326481674;-0.013736890066701942;-0.052371665343304626;-0.0010884436310641613;-0.02155854946640316;-0.02358724654277024;-0.031770296169330546;-0.020174337822232945;-0.04049215539136506;-0.0679929555227733;-0.0005849093937192996;-0.0016773079497933825;-0.013605586778301327;-0.03711472363900854;-0.001572332220569477;-0.008238389591308138;-0.0010679052343405201;-0.028237658740682497;-0.029332396897104557;-0.035115355749135255;-0.0007684053020654883;-0.10601910688104899;-0.015431531083441141;-0.09089249548938248;-0.07642940004748855;-0.0009388261863164812;-0.03323592660806908;-0.4477756338076168;-0.01968488736949548;-0.026778704694090286;-0.0009929074695888506;-0.003233741168347313;-0.02581695203097836;-0.06583392292672659;-0.00013914358462754656;-0.008648422266935931;-0.01357281551299249;-0.03374627218089007;-0.053027884215749686;-0.0020407173305356033;-0.04385165940858075;-0.02630307504601784;-0.06168962392707397;-0.3725379895831511;-0.019487013463774926;-0.0396078442250677;-0.004826656711435202;-0.0753058949650133;-0.03221321528478982;-0.0036142733508635443;-0.016264757494641225;-0.0432861974042379;-0.035396408064466235;-0.008355354345506402;-0.024260097604477993;-0.026350859604267998;-0.002069124178675817;-0.03536845363707655;-0.001789860521737935;-0.0422207419882402;-0.0839315890065127;-0.0021611462215134418;-0.003808749628017364;-0.0069051430747302835;-0.0101635267479813;-0.07897137300783971;-0.018134791278133756;-0.0005307995303940682;-0.03593368424612387;-0.029660488500617355;-0.03238430736853398;-0.015225885559088262;-0.15197434630810217;-0.024168483714123782;-0.04492019775070221;-0.00018815453085798837;-0.07009177491359145;-0.03304173427576953;-0.010524423117852871;-0.04014702137799063;-0.001282716506872815;-0.0003544371449047499;-0.015600253108426386;-0.04824752633322888;-0.04096734542498694;-0.02375411699040175;-0.0032097488805736224;-0.00018670440578714138;-0.010458509758997021;-0.005682830273814707;-0.05095621716107962;-0.029451423170964833;-0.02364718721152315;-0.03169499871861901;-0.03519357546255062;0.059950026639259364;419
activation:relu_alpha:0.001_batch_size:3_early_stopping:False_hidden_layer_sizes:(20, 15, 10)_learning_rate:adaptive_learning_rate_init:0.01_max_iter:3000_solver:adam;0.18711117506027222;0.06067629266312841;0.00042536973953247073;9.480156900670302e-05;relu;0.001;3;False;(20, 15, 10);adaptive;0.01;3000;adam;-0.04938460399431796;-0.007328547453706462;-0.0037332888617845617;-0.042719622334899794;-0.0026427572404178153;-0.13070549755239377;-0.059463619973826425;-0.02526991994252016;-0.04782511975369406;-0.005031788600182258;-0.05240311988176627;-0.010248783721557604;-0.04760598072518899;-0.010346289452978226;-0.014972072824685953;-0.057983627910980405;-0.0032896596957094743;-0.00086286435405664;-0.03573506778574661;-0.043460685936627885;-0.0008253942221839625;-0.03547875709148923;-0.003985520761329408;-0.07629865550271932;-0.013110501216989793;-0.032237693467237614;-0.0012824618905126906;-0.09954117860321994;-0.04014266974877666;-0.07237242342838202;-0.05217962433495251;-0.016527426421474704;-0.02184588574214492;-0.15833550898186052;-0.028603157299087554;-0.005265233872335889;-0.001833338114234798;-0.0004096443421212057;-0.015505908640687516;-0.08533094376823784;-0.0047068889708081684;-0.0005299088322180632;-0.01393944389564681;-0.06369783250200868;-0.0417290567090552;-0.0021416602715195196;-0.005223388633565918;-0.02725341450756598;-0.049799475021296336;-0.09250205413515439;-0.02652036948375159;-0.07936559471054043;-0.03216547643056646;-0.03287204423070447;-0.0713042239003244;-0.0017054441934339839;-0.01743487753617076;-0.0316266646444675;-0.0023144310849622938;-0.0024919878986847293;-0.023357701780401693;-0.029732300260374784;-0.0001040921575883301;-0.028844478572069166;-0.04916890091795464;-0.0420716998881614;-0.07778442100391568;-0.0006821324679388568;-0.0012721165407277581;-0.012871914416897131;-0.0022538493006982567;-0.058690119103455535;-0.07582960000190574;-0.002198986152591582;-0.014708895494996432;-0.07016785045874803;-0.03964862322964966;-0.07426503695069209;-0.014613416105363411;-0.0006167868233181896;-0.05219290518661659;-0.007816574893709686;-0.03004573976709725;-0.02795440516903636;-0.0005516195576179777;-0.08296877469397937;-0.004157705613074603;-0.028435483130767113;-0.011684622796234403;-0.023861540779843884;-0.0290615445669079;-0.03139275026233207;-0.00022032283594140573;-0.0010294754838976912;-0.0033365606720931;-0.016899998976027304;-0.2960685360838508;-0.044734005976219994;-0.08214187016578195;-0.11776195019819725;-0.0352264839147614;0.04132009513080021;420
activation:relu_alpha:0.01_batch_size:3_early_stopping:False_hidden_layer_sizes:(15, 10)_learning_rate:constant_learning_rate_init:0.01_max_iter:1600_solver:adam;0.2480190634727478;0.09018677765006562;0.00041733503341674806;9.223224661586402e-05;relu;0.01;3;False;(15, 10);constant;0.01;1600;adam;-0.0436855495156423;-0.011752093354255888;-0.03277985213852736;-0.04442595409345639;-0.00021987649246512134;-0.08306361931268272;-0.0038831847371486876;-0.008972464209650572;-0.0410507666643185;-0.0034763251865940676;-0.034911051872660824;-0.03063760186648469;-0.032239927026294024;-0.01782484519010435;-0.020446831296266035;-0.07036658733024145;-0.0004610697850536488;-0.014215834382831248;-0.1194769222391956;-0.019945425693716698;-0.005400788255656551;-0.021057700581585525;-0.005955138407333401;-0.0034995249487403414;-0.03188065202832347;-0.030645627618248118;-0.013201485022701812;-0.07922833103121159;-0.01974887706408495;-0.06347412531830264;-0.05645906342675075;-0.005001821984756003;-0.0010282576533967506;-0.2035968330553611;-0.04624363670555399;-0.015889220903721555;-0.00044236919181923256;-0.010482183624604763;-0.0280852524832301;-0.08965404284638251;-0.0055159444871860355;-0.0006414312977142011;-0.03509433303572475;-0.06280761799552362;-0.05951641092713328;-0.008835247809070737;-0.016720434286496118;-0.057135331441253094;-0.02976246981402141;-0.08861359455853968;-0.06840686248657969;-0.06655265160758857;-0.014183972526735896;-0.07539516352431923;-0.06216190474132304;-0.0016695765380861244;-0.026125814057265693;-0.0845961601428229;-0.006518264401486538;-0.00027925456971857667;-0.033394777112834395;-0.05683623641278684;-0.0012494027183156513;-0.190140932370095;-0.006922928484797873;-0.04795418828645143;-0.14646673634163818;-0.001816221463559197;-0.0008777814269669805;-0.01506909610245681;-0.019576044182940087;-0.04846818562974441;-0.031099836401175075;-0.01124272001972224;-0.05039996529076036;-0.04480218872254346;-0.026656095959400997;-0.005441371197988509;-0.040416606173967355;-0.03447858250093713;-0.03463970767947254;-0.024886678604358104;-0.046573842550248996;-0.045884177823881434;-0.0406442921052759;-0.04985232025546394;-0.005940947294920271;-0.0030389317421880436;-0.010669246986302346;-0.026303781942005482;-0.024580584419340763;-0.04279463411018227;-0.0012521680394083912;-0.0010783075181456296;-0.03764248814171059;-0.008085769576834947;-0.002045159449505895;-0.048168293517630835;-0.004481676778028684;-0.11727055197840325;-0.035244866121003346;0.037159696353820895;421
activation:relu_alpha:0.001_batch_size:2_early_stopping:False_hidden_layer_sizes:(5, 5)_learning_rate:adaptive_learning_rate_init:0.001_max_iter:1250_solver:adam;0.7172754073143005;0.320738177285839;0.0004457712173461914;9.623290085861601e-05;relu;0.001;2;False;(5, 5);adaptive;0.001;1250;adam;-0.04746555223695183;-0.007376057006602393;-0.015836306824372235;-0.040343671169162834;-0.009628868618455641;-0.11033258150114196;-0.012614257815951171;-0.018700010672265857;-0.036501298059996835;-0.05786814320695277;-0.03003101810723762;-0.00828911993855045;-0.04214414043484468;-0.021294083955407366;-0.03626607025800695;-0.02822169059343028;-0.005535971532126962;-0.0023569454307858033;-0.025289761791364076;-0.009656603043975804;-0.0005226438841925417;-0.009493517270053866;-0.0011139086968597965;-0.04182253590834817;-0.02367082168814848;-0.032470475720456804;-0.0007207873584369762;-0.05039835164612446;-0.015553695315223716;-0.044811700361447604;-0.05740029937029911;-0.0038713112873433216;-0.027609432816925312;-0.481278262298151;-0.02978482753251703;-0.011632899155419511;-0.0018876168703349531;-0.021347587765401844;-0.02241471663110985;-0.03971698624695775;-0.007890878043238805;-0.006642647377563113;-0.03174832285153085;-0.04215595307344409;-0.07526708786379359;-0.002429230467736935;-0.015587255666667162;-0.031336476956859406;-0.09477535044096912;-0.02956798181858315;-0.015715657445582922;-0.03345966718393913;-0.0007950252463976118;-0.033891266497520854;-0.04763363396583412;-0.0025333134500229336;-0.013777052738506287;-0.050339966281736585;-0.03278296494899947;-0.008563438480394295;-0.02375644877426275;-0.03436385679874509;-0.0014031862144294465;-0.04532347983392023;-0.011787394858909677;-0.05431521171095821;-0.09180878149078593;-0.0010731022685580413;-0.020215867028496384;-0.06427872895122305;-0.004570259298338382;-0.07345015831870703;-0.14176964141583573;-0.000547068829501921;-0.02790345023555338;-0.032383699658114266;-0.16778105719735179;-0.022976929223985823;-0.024598054949777192;-0.003212348142154516;-0.04833430863394579;-0.08159813180644593;-0.029528581842732354;-0.0321934158004998;-0.006998114288469022;-0.03515344834602731;-0.008668815793313028;-0.0012912163868078815;-0.008707853040429606;-0.04495924114052907;-0.044601297798726465;-0.04912958829388921;-0.0004962683259021151;-0.007619641624990222;-0.01757200644411033;-0.020076094038719076;-0.07270971968751476;-0.05841001270610566;-0.018100087518625744;-0.03369967756680087;-0.035275339471048495;0.053413134627465345;422
activation:relu_alpha:0.001_batch_size:3_early_stopping:False_hidden_layer_sizes:(20, 15, 15, 10)_learning_rate:constant_learning_rate_init:0.01_max_iter:1250_solver:adam;0.22687868595123292;0.0805557749672868;0.0004614090919494629;9.905149893795617e-05;relu;0.001;3;False;(20, 15, 15, 10);constant;0.01;1250;adam;-0.037012149021526934;-0.07121656415298312;-0.0238057462218751;-0.02848202459735003;-0.00010802947857109942;-0.08455717254086555;-0.006015635522330083;-0.07804918781734713;-0.052898899252921704;-0.00030274506967230746;-0.019278206532593347;-0.04290048371015962;-0.06487450213098112;-0.00759839970244392;-0.011627182246585738;-0.1134705825482517;-0.007275813939793259;-0.0026179946634871435;-0.03334700037764912;-0.062282142091738546;-0.0010414628585946786;-0.017054677777702885;-0.0002803054227536362;-0.01365947795851672;-0.007975812235144295;-0.035428303415905645;-0.004387398013056379;-0.25994478036033114;-0.190793275231678;-0.05361937146143935;-0.05043430977509738;-0.01850241365698165;-0.02346828628179207;-0.13993660977118547;-0.025911134164598577;-0.0069470522080333115;-0.0009602906717925881;-0.0007758324853296179;-0.01728366871460512;-0.08347992493173655;-0.005624185830682059;-0.020311785400918266;-0.015580902804811144;-0.09595778241948118;-0.12560972235301693;-0.007271287108792361;-0.006411310468520884;-0.004294361527452384;-0.013732251300696822;-0.0517808505597287;-0.019593555156629694;-0.017285221525969823;-0.0013869170116489922;-0.06893854397140627;-0.032310011413189864;-0.0024893945806929666;-0.06063783274605667;-0.055525770809949325;-0.05775000027463991;-0.005869510988604165;-0.04238546553583614;-0.037400412787472734;-6.629673323863878e-05;-0.005736415147404808;-0.002565490159964817;-0.028610638318080747;-0.09593430674922816;-0.003839989428544852;-0.001278248321176498;-0.011031236925656116;-0.04819649197642627;-0.07178661701730023;-0.004660959404946304;-0.0036209464404542767;-0.036856734225237824;-0.021042353875958816;-0.06213723818316893;-0.11949352316319672;-0.0396789244294714;-0.0009039563577000978;-0.03007439398381776;-0.0002465581875475777;-0.014221545477515809;-0.035724111612146094;-0.029597008796237344;-0.025365585279545855;-0.005879950430564451;-0.0019813646542544312;-0.015441930743538756;-0.027203566913793237;-0.03138968732974538;-0.02488973279447383;-0.0012846475595948233;-0.0030801653021367424;-0.06863275186611854;-0.0005157388062342908;-0.09414243058262167;-0.037735550028607276;-0.01293589028236102;-0.062437377729152255;-0.03527972280808761;0.04206367912615553;423
activation:relu_alpha:0.01_batch_size:2_early_stopping:False_hidden_layer_sizes:(15, 10)_learning_rate:adaptive_learning_rate_init:0.01_max_iter:3000_solver:adam;0.3103670787811279;0.10419663784194381;0.00042768478393554686;9.58630659639814e-05;relu;0.01;2;False;(15, 10);adaptive;0.01;3000;adam;-0.04038531081282012;-0.039802094563190386;-0.0033262142727851786;-0.02088880639353978;-0.0005017702251083558;-0.04982049876538639;-0.0039095428107961926;-0.011157645026260083;-0.10029399428334697;-0.001373817174299497;-0.017652779953243082;-0.02380124257354413;-0.023769883872582484;-0.00864928694154843;-0.04844769600736487;-0.021031222798151325;-0.025075966065258155;-0.007807846961891828;-0.07185268089027894;-0.007403159597790792;-0.0005501746709064804;-0.008290511983157917;-0.005865595627214453;-0.06269473732857954;-0.054295068988646396;-0.04590411381875431;-0.0006647615245697;-0.0734020889523766;-0.08167980668605392;-0.022559931883702224;-0.04045152161690667;-0.002187509711736347;-0.02669252465266124;-0.2245164417399993;-0.02800173204896123;-0.13746084140951162;-0.0006721053948233577;-0.008358629857013156;-0.04209216698887134;-0.02345090687243541;-0.057769534158286624;-0.001799984317005245;-0.02830176742153503;-0.0373660280478428;-0.08494737596743245;-0.010236506001084741;-0.027124690379458416;-0.007097603264473475;-0.03892417777322931;-0.028833963006243923;-0.012682231333400362;-0.13285279528480123;-0.006129300905733253;-0.017023878938623022;-0.05965397328504757;-0.002709060876763401;-0.003396797188775388;-0.03645442059612889;-0.046620728940866885;-0.000959611897990047;-0.029301544202947026;-0.0871411784295932;-0.0003890105596305114;-0.30153851357258155;-0.001285900738004482;-0.04452985687206593;-0.0775543612352564;-0.0009034727110951365;-0.027851563886224256;-0.013538056403486416;-0.007878526723064858;-0.050487677761663956;-0.05322942255167399;-0.0008104396026208304;-0.045738522244077734;-0.036700861275312885;-0.025331403848030152;-0.10811129146540484;-0.00629598056038999;-0.001408183217907845;-0.071625016252233;-0.003971494430713295;-0.03313464704435323;-0.03859547597406914;-0.01827594295742714;-0.057893498356523805;-0.005790919433821544;-0.0013006911933299327;-0.02541190984939265;-0.04440409556009775;-0.032925796052694724;-0.018449274040915686;-0.009701330588453768;-5.288279528474045e-05;-0.01665451451220688;-0.005359491800974495;-0.05869111441648813;-0.05328271767109343;-0.02130967033360938;-0.03469510470952401;-0.03529178417165029;0.043947765907179116;424
