;Linear;Lasso;Ridge;ElasticNet;KNN;RF;SVR;MLP
16;-0.0026180183448970312;-0.001903293583106568;-0.00604804826312732;-0.001903293583106568;-0.0009347282143015267;-0.025289210276761134;-0.0018575906371771126;-0.0003046836335028156
17;-0.013170576156136898;-0.002067121398937064;-0.004346634712114018;-0.002067121398937064;-0.0017361052400348047;-0.0009748741988887429;-0.0012626597719025403;-0.001918372325564832
18;-0.03499339100743243;-0.004928032415622087;-0.011387046902188573;-0.004928032415622087;-0.0011966022060607131;-0.001906533654407513;-0.0014376723201253892;-0.008767949328720664
19;-0.055417411259985984;-0.0014323594243488464;-0.013145100253466819;-0.0014323594243488464;-0.0013498549452482507;-0.01041522132109549;-0.0023068949723616256;-0.023017519194132485
20;-0.054232868865667236;-0.003768965052998485;-0.004309700042735334;-0.003768965052998485;-0.0005537927829625413;-0.0005111876996124532;-0.00013518303859753907;-0.0005202776795490177
21;-0.021891003204003834;-0.007580154658208147;-0.01947973365383784;-0.007580154658208147;-0.0015084199351207133;-0.001633004250872055;-0.0007151385589004221;-0.013880076279060313
22;-0.05228287783040856;-0.006434115806112226;-0.001743712537761597;-0.006434115806112226;-0.0023253048531306037;-0.0021355812277313816;-0.0003472100186781883;-0.008627358591819116
23;-0.13535401721688864;-0.024095673311292785;-0.02381747008303545;-0.024095673311292785;-0.007262394908058038;-0.032846220721921775;-0.018474466734291473;-0.016515655237830027
24;-0.003997443968264757;-0.004182272135799566;-0.012346507163182238;-0.004182272135799566;-0.0005770952796313294;-0.003492676709827058;-0.0011976209213755658;-0.025436339049884
25;-0.06617470719628656;-0.003578524928197386;-0.024773900047281194;-0.003578524928197386;-0.0022996499074799982;-0.00844272786405273;-0.0021464229950472966;-0.025074767229741408
26;-0.047378826863594986;-0.002652054723879452;-0.005880089410511513;-0.002652054723879452;-0.0013456943269987785;-0.018681988787815112;-0.0025450227056616503;-0.001728754350782651
27;-0.050003295585185875;-0.02248641082006746;-0.05440052115197971;-0.02248641082006746;-0.007381998747996406;-0.12035959422943075;-0.019378198610373955;-0.05952008980553932
28;-0.09967876335647032;-0.0011443088703954496;-0.012900909722326338;-0.0011443088703954496;-0.0004909406688701571;-0.001194935868550801;-0.0019179121147317971;-0.015350353965446753
29;-0.10727758265938597;-0.02870361550544426;-0.056520491361308794;-0.02870361550544426;-0.03495814544553745;-0.018465778510277378;-0.01547018660665915;-0.020960292455653184
30;-0.035703717084418975;-0.015135419663597618;-0.059317190750747345;-0.015135419663597618;-0.029760309516422404;-0.02861575967231365;-0.020298130282203265;-0.10281441204381692
31;-0.017001360457802612;-0.0011357753932063046;-0.004012587767273053;-0.0011357753932063046;-0.0022383849321026754;-0.024853364002245647;-7.706759843930729e-05;-0.00338630455003314
32;-0.018996317079962143;-0.007496432527494042;-0.024524127610356133;-0.007496432527494042;-0.002360167174359998;-0.002228039003083213;-0.0037361733839306973;-0.014797638184614473
33;-0.06017252245050105;-0.03614099577502324;-0.08796046748730386;-0.03614099577502324;-0.04281678085781577;-0.13131156063218843;-0.018526507032202093;-0.128000745157713
34;-0.04134403602306381;-0.005040074123018517;-0.014275019058199848;-0.005040074123018517;-0.002201076514977525;-0.006367468304125253;-0.0018747090885241513;-0.01310532826343875
35;-0.051698414032979124;-0.01879127215833077;-0.011645352078229984;-0.01879127215833077;-0.007479029235397097;-0.030236775782448325;-0.016572524347140325;-0.007133448889413138
36;-0.01772919362663299;-0.0039057571704285234;-0.006200802659255079;-0.0039057571704285234;-0.0008737065467162401;-0.0003803109273802237;-0.00060753037939436;-0.004977551980090586
37;-0.042983259746679235;-0.00855694915156302;-0.01013116445885988;-0.00855694915156302;-0.00236557385120385;-0.001820608519967956;-0.0007628633178146469;-0.0015228371947191652
38;-0.05041336158127957;-0.0015795198679446714;-0.01114762973322945;-0.0015795198679446714;-0.0003453806363314386;-0.00138005217330211;-0.0015551425675737979;-0.0140867013075554
39;-0.048929527400995515;-0.02017578389100592;-0.031106987782459756;-0.02017578389100592;-0.002294500839865861;-0.024736966391496085;-0.002394185065851562;-0.022155223213043657
40;-0.05298524296439182;-0.0036349406221502954;-0.002860409096027094;-0.0036349406221502954;-0.0021392427365874906;-0.013566263548376211;-0.0001727521315788048;-0.007656915075182996
