Band;Importance
516.2;4.476834581702431e-06
1621.2;4.451529396293723e-06
1599.3;4.340601749926253e-06
1887.2;4.310851225482261e-06
1461.8;4.245485567779885e-06
1480.6;4.1850340856959625e-06
2357.3;4.137761203676882e-06
1835.3;4.079083884615156e-06
2194.6;4.0284666305425465e-06
1340.4;3.906530730085801e-06
1838.8;3.8675932879276535e-06
1831.8;3.7895175288582845e-06
1469.4;3.7306534914933595e-06
1336.6;3.642198424410162e-06
1465.6;3.5984830446305714e-06
1646.7;3.5583136524383534e-06
2174.3;3.515017204068942e-06
1351.9;3.506975322371251e-06
1488.1;3.4927054963443977e-06
1450.6;3.4785061877618256e-06
1439.2;3.3957756882435144e-06
1880.3;3.359347054126329e-06
1355.7;3.3240613098861835e-06
1371;3.2960398806914153e-06
2176.9;3.246781281594597e-06
1348.1;3.235702224502237e-06
534;3.05899746963414e-06
542.8;3.0355508407468185e-06
1632.2;3.0342589978284543e-06
2362;3.0202799440529732e-06
1328.9;2.9980692918257316e-06
1580.9;2.983741631510394e-06
1412.8;2.8895977431961226e-06
1639.5;2.8406185004392723e-06
532.5;2.8405331893084358e-06
1624.9;2.831907490047552e-06
514.7;2.7722002881829834e-06
1344.2;2.753276506124144e-06
1643.1;2.7395999462319384e-06
529.5;2.7037060919344046e-06
517.7;2.6543403801936128e-06
1321.2;2.575011939531514e-06
544.3;2.478455092779727e-06
1332.8;2.451135572026153e-06
1424.2;2.4254467839973047e-06
1374.8;2.40650647533463e-06
1503;2.367820803268329e-06
1382.4;2.345991697471903e-06
1544;2.326376652187681e-06
1278.9;2.3163925967047016e-06
1473.1;2.2783178006106176e-06
539.9;2.2663879780278007e-06
2169.2;2.262188678309071e-06
526.6;2.2319740368383426e-06
1409;2.179226227648667e-06
1435.5;2.157041066547575e-06
2373.6;2.1031544698489662e-06
1325.1;2.0955901199469627e-06
1484.4;2.0942843525727323e-06
1495.6;2.0609860788217773e-06
1363.4;2.0482852259970116e-06
1628.5;1.950472549537065e-06
1416.6;1.9072369620792371e-06
525.1;1.901709226481409e-06
1491.8;1.8706483696761203e-06
791.9;1.8124037105860167e-06
1305.9;1.7822040522399095e-06
2380.5;1.778361045907854e-06
784.3;1.7783313445260422e-06
1290.5;1.7630627519871351e-06
2387.4;1.7594544431062493e-06
551.6;1.7269033686088145e-06
844.8;1.691403054844618e-06
841.2;1.6764178280738893e-06
1302;1.6578274371172587e-06
1661.2;1.6536203205358019e-06
531;1.640249530578665e-06
1298.2;1.639928261022931e-06
1700.9;1.5847618892779136e-06
777.9;1.5798881555159356e-06
1718.8;1.5745280043460463e-06
522.1;1.5628451134576847e-06
1536.5;1.5398369025871777e-06
1454.3;1.5267128727725225e-06
1294.3;1.5253639240496482e-06
1275;1.5210072364091645e-06
1650.4;1.4955046514053844e-06
781.7;1.487934823730196e-06
1715.3;1.4847950189965377e-06
1635.8;1.4845472687403715e-06
1317.4;1.4678985086215693e-06
811.9;1.4596673375219768e-06
837.6;1.455262696417553e-06
1686.5;1.4529088571053632e-06
1386.2;1.4437424818046585e-06
1722.4;1.4344825963234048e-06
528.1;1.4288819067966332e-06
1859.6;1.4285636701107577e-06
783;1.4199756745446303e-06
557.5;1.4142129996232458e-06
763.8;1.4071223699531846e-06
1518;1.3692351760649578e-06
1682.9;1.3692161201487362e-06
1309.7;1.3613685168364583e-06
2141;1.357987072465631e-06
1551.4;1.3513708971260058e-06
1690.1;1.3219400518302245e-06
1510.5;1.2855671087619622e-06
2371.3;1.2707137722069426e-06
1443;1.269433169114978e-06
846;1.2599893065105055e-06
1879;1.2478629136837273e-06
786.8;1.2447117537003845e-06
789.4;1.2247346361833248e-06
538.4;1.2195000838346154e-06
1446.8;1.1979503570206477e-06
1420.4;1.167628598440327e-06
790.6;1.1631268811778787e-06
1514.2;1.161274278552315e-06
2143.6;1.1574670061724132e-06
1693.7;1.1521498102091583e-06
541.4;1.132449470078853e-06
1704.5;1.1261888905281746e-06
766.4;1.112721800425464e-06
2164.1;1.1029694082906232e-06
843.6;1.1007470027989079e-06
536.9;1.089257494071635e-06
775.4;1.0833509789064173e-06
1313.6;1.0792449385377543e-06
821.8;1.0664814705917196e-06
1679.3;1.0517407520310262e-06
1729.6;1.0424932446540272e-06
1708.1;1.0416791609050597e-06
1378.6;1.0361863624070965e-06
803.2;1.0297936196884234e-06
1657.6;1.0113933174690743e-06
765.1;1.0055961834955956e-06
545.8;1.003170768534316e-06
1558.8;9.990032100303006e-07
554.6;9.841910854703972e-07
836.4;9.646193554826238e-07
1733.1;9.427029147897458e-07
823;9.283987635784257e-07
1584.6;9.226442115324272e-07
1668.5;9.149124580812978e-07
806.9;8.925213139540558e-07
899.2;8.889510683245946e-07
805.7;8.568118399351831e-07
1775.7;8.523257157173546e-07
829.1;8.361202986709882e-07
1672.1;8.311605432404978e-07
826.6;8.301961398649324e-07
943.7;8.215820602863952e-07
767.6;8.11705755653883e-07
859;8.082039625558384e-07
771.5;7.895020063710702e-07
